Player,Salary
Maxi Kleber,"$9,000,000.00"
Darius Garland,"$8,920,795.00"
Jabari Smith Jr.,"$8,882,640.00"
Nicolas Batum,"$19,700,319.00"
Kyle Anderson,"$8,780,488.00"
Victor Oladipo,"$8,750,000.00"
Daniel Theis,"$8,694,369.00"
LaMelo Ball,"$8,623,920.00"
Nic Claxton,"$8,500,000.00"
Grayson Allen,"$8,500,000.00"
Seth Curry,"$8,496,653.00"
Evan Mobley,"$8,478,720.00"
Gary Payton II,"$8,300,000.00"
De'Anthony Melton,"$8,250,000.00"
JaMychal Green,"$10,036,090.00"
T.J. McConnell,"$8,100,000.00"
Keegan Murray,"$8,008,440.00"
Kevon Looney,"$8,000,000.00"
Thaddeus Young,"$8,000,000.00"
DeAndre Jordan,"$9,663,997.00"
Isaiah Hartenstein,"$7,804,879.00"
Delon Wright,"$7,804,878.00"
Patrick Williams,"$7,775,400.00"
Scottie Barnes,"$7,644,600.00"
Cedi Osman,"$7,426,088.00"
Coby White,"$7,413,955.00"
Zach Collins,"$7,350,000.00"
Taurean Prince,"$7,295,000.00"
Jaden Ivey,"$7,252,200.00"
Jae'Sean Tate,"$7,065,217.00"
Isaac Okoro,"$7,040,880.00"
Cody Martin,"$7,000,000.00"
Jalen Suggs,"$6,922,320.00"
Jaxson Hayes,"$6,803,012.00"
Khem Birch,"$6,667,500.00"
Bennedict Mathurin,"$6,586,800.00"
Caleb Martin,"$6,479,000.00"
John Wall,"$47,345,760.00"
Patty Mills,"$6,479,000.00"
Danilo Gallinari,"$16,907,880.00"
Joe Ingles,"$6,479,000.00"
Lonnie Walker IV,"$6,479,000.00"
Bruce Brown,"$6,479,000.00"
Onyeka Okongwu,"$6,395,160.00"
Justin Holiday,"$6,292,440.00"
Josh Giddey,"$6,287,400.00"
Rui Hachimura,"$6,263,188.00"
Rudy Gay,"$6,184,500.00"
Shaedon Sharpe,"$6,012,960.00"
Cameron Payne,"$6,000,000.00"
Otto Porter Jr.,"$6,000,000.00"
Cam Reddish,"$5,954,454.00"
Cameron Johnson,"$5,887,899.00"
Ricky Rubio,"$5,853,659.00"
Killian Hayes,"$5,837,760.00"
P.J. Washington,"$5,808,435.00"
Jonathan Kuminga,"$5,739,840.00"
Pat Connaughton,"$5,728,393.00"
Tyler Herro,"$5,722,116.00"
Romeo Langford,"$5,634,257.00"
Dyson Daniels,"$5,508,600.00"
JaVale McGee,"$5,461,219.00"
Obi Toppin,"$5,348,280.00"
Franz Wagner,"$5,258,280.00"
Kendrick Nunn,"$5,250,000.00"
Hamidou Diallo,"$5,200,000.00"
Garrett Temple,"$5,155,500.00"
Cory Joseph,"$5,155,500.00"
Torrey Craig,"$5,121,951.00"
Jeremy Sochan,"$5,063,520.00"
David Nwaba,"$5,022,000.00"
Nickeil Alexander-Walker,"$5,009,633.00"
Furkan Korkmaz,"$5,000,000.00"
Deni Avdija,"$4,916,160.00"
Davion Mitchell,"$4,833,600.00"
Johnny Davis,"$4,810,320.00"
Goga Bitadze,"$4,765,339.00"
Ish Smith,"$4,725,000.00"
Dewayne Dedmon,"$7,566,667.00"
Jalen Smith,"$4,670,160.00"
Ziaire Williams,"$4,591,680.00"
Ousmane Dieng,"$4,569,840.00"
Maurice Harkless,"$4,564,980.00"
Donte DiVincenzo,"$4,500,000.00"
Jeff Green,"$4,500,000.00"
Devin Vassell,"$4,437,000.00"
Matisse Thybulle,"$4,379,527.00"
Jarred Vanderbilt,"$4,374,000.00"
James Bouknight,"$4,362,240.00"
Brandon Clarke,"$4,343,920.00"
Jalen Williams,"$4,341,480.00"
Grant Williams,"$4,306,281.00"
Darius Bazley,"$4,264,629.00"
Ty Jerome,"$4,220,057.00"
Tyrese Haliburton,"$4,215,120.00"
Nassir Little,"$4,171,548.00"
Joshua Primo,"$4,144,320.00"
Jalen Duren,"$4,124,280.00"
Danuel House Jr.,"$4,105,000.00"
Justise Winslow,"$4,097,561.00"
Dylan Windler,"$4,037,278.00"
Kira Lewis Jr.,"$4,004,280.00"
Terence Davis,"$4,000,000.00"
George Hill,"$4,000,000.00"
Chris Duarte,"$3,936,960.00"
Jevon Carter,"$6,025,000.00"
Alex Len,"$3,918,600.00"
Ochai Agbaji,"$3,918,360.00"
Jordan Poole,"$3,901,399.00"
Keldon Johnson,"$3,873,025.00"
Aaron Nesmith,"$3,804,360.00"
Moses Moody,"$3,740,160.00"
Mark Williams,"$3,722,040.00"
Cole Anthony,"$3,613,680.00"
Corey Kispert,"$3,552,840.00"
AJ Griffin,"$3,536,160.00"
Mike Muscala,"$3,500,000.00"
Boban MarjanoviÄ‡,"$3,500,000.00"
Georges Niang,"$3,465,000.00"
Chuma Okeke,"$3,433,320.00"
Isaiah Stewart,"$3,433,320.00"
Amir Coffey,"$3,395,062.00"
Alperen ÅžengÃ¼n,"$3,375,360.00"
Tari Eason,"$3,359,160.00"
Aleksej Pokusevski,"$3,261,480.00"
Kevin Porter Jr.,"$3,217,631.00"
Trey Murphy III,"$3,206,520.00"
Simone Fontecchio,"$3,205,128.00"
Andre Drummond,"$3,200,000.00"
Derrick Jones Jr.,"$3,200,000.00"
Dalen Terry,"$3,191,400.00"
Josh Green,"$3,098,400.00"
Jake LaRavia,"$3,047,640.00"
Tre Mann,"$3,046,200.00"
Jordan Nwora,"$3,000,000.00"
Sterling Brown,"$3,000,000.00"
Kevin Knox,"$3,000,000.00"
Saddiq Bey,"$2,959,080.00"
Malaki Branham,"$2,925,600.00"
Kai Jones,"$2,909,040.00"
Dewayne Dedmon,"$7,566,667.00"
Andrew Nicholson,"$2,844,430.00"
Precious Achiuwa,"$2,840,160.00"
Christian Braun,"$2,808,600.00"
Jalen Johnson,"$2,792,640.00"
Tyrese Maxey,"$2,726,880.00"
Bruno Fernando,"$2,717,391.00"
Walker Kessler,"$2,696,400.00"
Keon Johnson,"$2,681,040.00"
Trey Lyles,"$2,625,000.00"
Zeke Nnaji,"$2,617,800.00"
David Roddy,"$2,588,640.00"
Isaiah Jackson,"$2,573,760.00"
MarJon Beauchamp,"$2,485,200.00"
Usman Garuba,"$2,471,160.00"
Leandro Bolmaro,"$2,471,160.00"
Montrezl Harrell,"$2,463,490.00"
Willy HernangÃ³mez,"$2,443,581.00"
R.J. Hampton,"$2,412,840.00"
Blake Wesley,"$2,385,480.00"
Josh Christopher,"$2,372,160.00"
Stanley Johnson,"$2,351,521.00"
Immanuel Quickley,"$2,316,240.00"
John Konchar,"$2,300,000.00"
Damian Jones,"$2,298,385.00"
Quentin Grimes,"$2,277,000.00"
Andrew Nembhard,"$2,244,111.00"
Nikola JoviÄ‡,"$2,239,920.00"
Payton Pritchard,"$2,239,200.00"
Vlatko ÄŒanÄar,"$2,234,359.00"
Patrick Baldwin Jr.,"$2,226,000.00"
TyTy Washington Jr.,"$2,210,040.00"
Bones Hyland,"$2,201,520.00"
Bol Bol,"$2,200,000.00"
Peyton Watson,"$2,193,960.00"
Marquese Chriss,"$2,193,920.00"
Udoka Azubuike,"$2,174,880.00"
Jaden McDaniels,"$2,161,440.00"
Jordan McLaughlin,"$2,160,000.00"
Malachi Flynn,"$2,145,720.00"
Cam Thomas,"$2,138,160.00"
Luke Kornet,"$2,133,278.00"
Desmond Bane,"$2,130,240.00"
Jaden Springer,"$2,125,200.00"
Day'Ron Sharpe,"$2,109,480.00"
Jevon Carter,"$6,025,000.00"
Santi Aldama,"$2,094,120.00"
Tony Bradley,"$2,036,318.00"
Frank Ntilikina,"$2,036,318.00"
Kenrich Williams,"$2,000,000.00"
Caleb Houstan,"$2,000,000.00"
Jaylin Williams,"$2,000,000.00"
Jeremiah Robinson-Earl,"$2,000,000.00"
Garrison Mathews,"$2,000,000.00"
Shake Milton,"$1,997,718.00"
Edmond Sumner,"$1,968,175.00"
Daniel Gafford,"$1,930,681.00"
Terance Mann,"$1,930,681.00"
Dean Wade,"$1,930,681.00"
Isaiah Roby,"$1,930,681.00"
Jalen McDaniels,"$1,930,681.00"
Naz Reid,"$1,930,681.00"
Jaylen Nowell,"$1,930,681.00"
Chimezie Metu,"$1,910,860.00"
Davon Reed,"$1,902,133.00"
KZ Okpala,"$1,902,133.00"
ThÃ©o Maledon,"$1,900,000.00"
Svi Mykhailiuk,"$3,714,810.00"
Thanasis Antetokounmpo,"$1,878,720.00"
Keita Bates-Diop,"$1,878,720.00"
Moritz Wagner,"$1,878,720.00"
Wenyen Gabriel,"$1,878,720.00"
Oshae Brissett,"$1,846,738.00"
Anthony Gill,"$1,836,090.00"
Taj Gibson,"$1,836,090.00"
Juancho HernangÃ³mez,"$1,836,090.00"
Gorgui Dieng,"$1,836,090.00"
Drew Eubanks,"$1,836,090.00"
Bismack Biyombo,"$1,836,090.00"
Josh Okogie,"$1,836,090.00"
Damion Lee,"$1,836,090.00"
Isaiah Joe,"$1,836,090.00"
Bryn Forbes,"$1,836,090.00"
Serge Ibaka,"$1,836,090.00"
Wesley Matthews,"$1,836,090.00"
Udonis Haslem,"$1,836,090.00"
Dennis SchrÃ¶der,"$1,836,090.00"
Thomas Bryant,"$1,836,090.00"
Troy Brown Jr.,"$1,836,090.00"
Juan Toscano-Anderson,"$1,836,090.00"
Andre Iguodala,"$1,836,090.00"
JaMychal Green,"$10,036,090.00"
Rodney McGruder,"$1,836,090.00"
DeAndre Jordan,"$9,663,997.00"
Theo Pinson,"$1,836,090.00"
Robin Lopez,"$1,836,090.00"
Raul Neto,"$1,836,090.00"
Goran DragiÄ‡,"$1,836,090.00"
T.J. Warren,"$1,836,090.00"
Frank Kaminsky,"$1,836,090.00"
Aaron Holiday,"$1,836,090.00"
